costa,visa,costa0001,PRIMARY,,
iceland-bonus-card,amex,9427960067,PRIMARY,,
iceland-bonus-card,amex,9441154168,PRIMARY,,
iceland-bonus-card,amex,9427966882,PRIMARY,,
iceland-bonus-card,amex,9427966908,PRIMARY,,
iceland-bonus-card,amex,9427966916,PRIMARY,,
iceland-bonus-card,amex,9427966932,PRIMARY,,
iceland-bonus-card,amex,9427966940,PRIMARY,,
iceland-bonus-card,amex,9427966957,PRIMARY,,
iceland-bonus-card,amex,9427966965,PRIMARY,,
iceland-bonus-card,amex,9427966973,PRIMARY,,
iceland-bonus-card,amex,9427966981,PRIMARY,,
iceland-bonus-card,amex,9427966999,PRIMARY,,
iceland-bonus-card,amex,9441154176,PRIMARY,,
iceland-bonus-card,amex,9441154184,PRIMARY,,
iceland-bonus-card,amex,9441154200,PRIMARY,,
iceland-bonus-card,amex,9441154218,PRIMARY,,
iceland-bonus-card,amex,9441154226,PRIMARY,,
iceland-bonus-card,amex,9441154234,PRIMARY,,
iceland-bonus-card,amex,9441154242,PRIMARY,,
iceland-bonus-card,amex,9441154259,PRIMARY,,
iceland-bonus-card,amex,9441154267,PRIMARY,,
iceland-bonus-card,amex,9441154275,PRIMARY,,
iceland-bonus-card,amex,9441154291,PRIMARY,,
iceland-bonus-card,amex,9441154309,PRIMARY,,
iceland-bonus-card,amex,9443063169,PRIMARY,,
iceland-bonus-card,amex,9443063177,PRIMARY,,
iceland-bonus-card,amex,9443064241,PRIMARY,,
iceland-bonus-card,amex,9443064258,PRIMARY,,
iceland-bonus-card,amex,9443064266,PRIMARY,,
iceland-bonus-card,amex,9443064274,PRIMARY,,
iceland-bonus-card,amex,9443066493,PRIMARY,,
iceland-bonus-card,amex,9443066501,PRIMARY,,
iceland-bonus-card,amex,9443066519,PRIMARY,,
iceland-bonus-card,amex,9443066527,PRIMARY,,
iceland-bonus-card,amex,9443076526,PRIMARY,,
iceland-bonus-card,amex,9443076534,PRIMARY,,
iceland-bonus-card,amex,9443076542,PRIMARY,,
iceland-bonus-card,amex,9443076559,PRIMARY,,
iceland-bonus-card,amex,9443076567,PRIMARY,,
iceland-bonus-card,amex,9443084231,PRIMARY,,
iceland-bonus-card,amex,9444073365,PRIMARY,,
iceland-bonus-card,amex,9444101356,PRIMARY,,
iceland-bonus-card,amex,9444115885,PRIMARY,,
iceland-bonus-card,amex,9444122717,PRIMARY,,
iceland-bonus-card,amex,9444510051,PRIMARY,,
iceland-bonus-card,amex,9444518419,PRIMARY,,
iceland-bonus-card,amex,9444538607,PRIMARY,,
iceland-bonus-card,amex,9445414295,PRIMARY,,
iceland-bonus-card,amex,9445414303,PRIMARY,,
iceland-bonus-card,amex,9445568645,PRIMARY,,
iceland-bonus-card,amex,9445568918,PRIMARY,,
iceland-bonus-card,amex,9445568926,PRIMARY,,
iceland-bonus-card,amex,9445568934,PRIMARY,,
iceland-bonus-card,amex,9445579790,PRIMARY,,
iceland-bonus-card,amex,9445579816,PRIMARY,,
